seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_sec,red_roll_mean,red_roll_std,ir_roll_mean,ir_roll_std,red_diff,ir_diff,red_diff2,ir_diff2,signal_energy
114,137364,40576,100871,-13.991369899024036,-30.7575857865243,2.271,-24.320174385363547,13.68925414961736,-36.283861865640645,28.123895373112184,7.338267021173575,16.059202201599295,7.007877783452454,43.76057149714926,1141.7875150667176
115,137386,40584,100862,-6.4999604666684085,-39.72039970904912,2.293,-23.95549803390489,13.918954770697628,-36.64889405063699,28.046019792439797,7.491409432355628,-8.96281392252482,0.15314241118205274,-25.022016124124114,1619.9596391148816
116,137396,40572,100821,-18.63461482595573,-80.16544717176625,2.303,-23.979555225282464,13.908484735613696,-37.625520388698774,28.699760297290453,-12.134654359287321,-40.44504746271713,-19.62606379164295,-31.482233540192308,6773.747789960974
117,137417,40586,100867,-4.457439495703127,-33.67208142366739,2.324,-23.784182957647968,14.115359352427967,-37.34985742182238,28.669596640382014,14.177175330252602,46.49336574809885,26.311829689539923,86.93841321081598,1153.677834259941
118,137438,40574,100863,-16.191630484401138,-37.60092975423361,2.345,-23.759052661165654,14.127982810314345,-36.74223860711408,28.32703532544349,-11.73419098869801,-3.9288483305662183,-25.911366318950613,-50.42221407866507,1675.9988161261988
119,137459,40568,100866,-21.656671678226274,-34.95665516704579,2.366,-23.892309840629622,14.074943517959069,-36.2801497368211,28.16012660615408,-5.465041193825137,2.644274587187823,6.269149794872874,6.573122917754041,1690.9791686462372
120,137480,40564,100868,-26.352076942639748,-32.513453205934496,2.387,-24.065534332441235,14.050339352164825,-36.622983484818334,28.004297967683993,-4.695405264413473,2.443201961111292,0.7696359294116633,-0.20107262607653098,1751.5565985652975
121,137493,40547,100861,-43.07232266678273,-39.08287161112518,2.4,-23.289816581726576,11.66222532477287,-36.44356665603142,27.95826863918719,-16.720245724142984,-6.569418405190682,-12.02484045972951,-9.012620366301974,3382.69583328314
122,137519,40567,100871,-23.32311713051392,-28.959891793179565,2.426,-23.05033266372242,11.532846602751896,-35.69294867585102,27.637069465240987,19.74920553626881,10.122979817945613,36.469451260411795,16.692398223136294,1382.643125356341
123,137539,40579,100868,-11.296086336538824,-32.0838235537056,2.446,-22.718071038673482,11.628918148466404,-35.38837824476042,27.59027855856482,12.027030793975097,-3.123931760526034,-7.7221747422937135,-13.246911578471646,1156.9733003478532
